Metric,Value
design__max_fanout_violation__count__corner:max_tt_025C_1v80,103
design__max_cap_violation__count__corner:max_tt_025C_1v80,1
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.3208977341346627
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.3248063854257023
timing__hold__ws__corner:max_tt_025C_1v80,0.31808201417555004
timing__setup__ws__corner:max_tt_025C_1v80,13.260986462051077
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.318082
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,13.392039
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,68
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,95
design__max_fanout_violation__count__corner:max_ss_100C_1v60,103
design__max_cap_violation__count__corner:max_ss_100C_1v60,1
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.3666164975371367
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.3753690520216107
timing__hold__ws__corner:max_ss_100C_1v60,0.8869538687887322
timing__setup__ws__corner:max_ss_100C_1v60,7.5160662043771875
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.886954
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,7.516066
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,68
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,103
design__max_cap_violation__count__corner:max_ff_n40C_1v95,1
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.29705769240803936
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.29964706564160515
timing__hold__ws__corner:max_ff_n40C_1v95,0.11659662454443384
timing__setup__ws__corner:max_ff_n40C_1v95,14.274427377478837
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.116597
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,15.768880
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,68
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,68
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79993
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000711717
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000691607
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000085607
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000691607
design_powergrid__voltage__worst,0.0000691607
design_powergrid__voltage__worst__net:VPWR,1.79993
design_powergrid__drop__worst,0.0000711717
design_powergrid__drop__worst__net:VPWR,0.0000711717
design_powergrid__voltage__worst__net:VGND,0.0000691607
design_powergrid__drop__worst__net:VGND,0.0000691607
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00000842000000000000069894610932319523044498055242002010345458984375
ir__drop__worst,0.0000711999999999999959310326147488012793473899364471435546875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
